Player,Age,Passport country,Position,League,Minutes played,Assists per 90,Back passes per 90,Crosses per 90,Crosses to goalie box per 90,Deep completed crosses per 90,Deep completions per 90,Defensive duels per 90,Dribbles per 90,Duels per 90,Forward passes per 90,Goals,Goals per 90,Interceptions per 90,Key passes per 90,Long passes per 90,Matches played,Passes per 90,Passes to final third per 90,Passes to penalty area per 90,Progressive passes per 90,Progressive runs per 90,Received long passes per 90,Received passes per 90,Second assists per 90,Shot assists per 90,Shots blocked per 90,Shots per 90,Sliding tackles per 90,Successful attacking actions per 90,Successful defensive actions per 90,Through passes per 90,Touches in box per 90,xA,xA per 90,xG,xG per 90
S. Owusu,27,Ghana,"RAMF, RW",Serbia 1,1578,0.11,5.53,2.22,0.23,0.74,0.91,4.73,5.53,22.24,6.33,1,0.06,1.77,0.34,2,23,25.84,2.62,2.45,3.99,3.08,1.31,16.48,0,0.86,0,2.17,0.23,5.02,4.79,0.63,2.17,2.13,0.12,2.44,0.14
U. Garcia,27,"Switzerland, Portugal",LB,Switzerland 1,1435,0.13,8.59,7.15,1.07,2.32,0.38,6.9,5.27,22.26,15.43,1,0.06,3.83,0.88,4.33,18,51.24,5.9,5.46,9.91,2.32,1.57,37.57,0.06,1.13,0.13,1.88,0.13,6.4,8.15,0.38,0.82,2.31,0.15,0.99,0.06
J. Castrop,19,"Germany, Korea Republic","RB, RAMF, RW",Germany 2,2048,0.09,6.11,1.27,0.22,0.44,0.66,7.95,4.13,22.94,12.66,2,0.09,3.78,0.31,2.55,29,29.75,3.96,1.89,6.64,1.76,1.36,17.93,0.04,0.7,0.04,1.14,0.79,3.08,9.05,0.62,1.36,1.61,0.07,1.49,0.07
Guga,25,Portugal,LCMF,Portugal 1,3163,0.06,7.26,0.91,0.06,0.4,0.6,6.43,1.48,15.31,9.96,2,0.06,2.76,0.26,2.79,33,39.01,5.58,1.68,4.67,1.56,0.48,28.45,0,1.39,0.11,1.39,0.46,1.96,6.74,0.4,0.65,3.43,0.1,2.35,0.07
G. Antonić,32,Serbia,"RCB, CB",Serbia 1,1800,0.1,4.3,0.35,0.15,0.1,0.3,6.55,0.25,16.9,24.5,2,0.1,5.25,0.1,8.7,21,53.8,8.8,1,12.65,1.5,0.95,35.75,0.05,0.1,0.75,0.3,0.55,0.4,9.55,0.75,0.5,0.48,0.02,0.45,0.02
O. Afolayan,25,"England, Nigeria","LWF, AMF, RWF",Germany 2,1273,0.14,6.15,2.62,0.21,0.64,1.06,6.01,7.42,28.21,5.3,3,0.21,2.26,0.64,0.85,16,24.32,1.7,2.4,3.18,3.89,2.69,16.76,0.14,1.06,0.14,2.12,0.07,5.51,5.66,0.14,4.31,1.52,0.11,3.37,0.24
H. Rojas,26,Costa Rica,"RW, LW",Costa Rica 1,1252,0.14,6.01,3.33,0.43,1.45,0.43,6.01,6.59,27.9,5.8,4,0.29,1.59,0.43,1.96,33,25.29,1.81,2.39,3.77,2.61,1.38,16.81,0.07,1.16,0,2.1,0.22,5.65,5.36,0.36,2.1,1.1,0.08,1.11,0.08
Nuno Da Costa,32,"Cape Verde Islands, France","CF, LW",France 1,1505,0.12,3.95,0.42,0.12,0.18,0.66,6.94,5.5,33.49,3.89,4,0.24,2.75,0.3,1.08,25,15.13,1.2,1.14,1.67,1.02,2.33,10.23,0,0.66,0.06,1.73,0.48,3.29,7.12,0.42,3.11,1.47,0.09,3.88,0.23
P. Guiagon,22,Côte d'Ivoire,"LW, RCMF, LCMF",Ligat Haal,1698,0.11,9.01,1.64,0.05,0.11,2.17,4.66,8.37,28.36,11.87,4,0.21,2.49,0.85,0.8,32,38.37,4.4,2.81,4.88,2.86,0.95,26.61,0.21,1.7,0,1.86,0,5.51,5.14,0.64,3.13,2.38,0.13,3.74,0.2
D. Glebov,23,Russia,"DMF, CB",Russia 1,2707,0.07,5.19,0.6,0.03,0.17,0.93,3.76,0.86,11.04,14.89,4,0.13,5.15,0.13,6.12,28,43.82,5.95,1.93,6.65,0.83,0.3,28.99,0,0.37,0.43,0.6,0.6,0.76,8.38,1.13,0.47,0.76,0.03,1.29,0.04
A. Hoxha,24,Kosovo,"LAMF, CF, LWF",Croatia 1,2085,0.09,4.49,2.07,0.3,0.47,0.39,5.57,6.78,28.58,2.94,6,0.26,1.64,0.3,1.17,25,15.11,1.25,1.29,1.86,2.46,1.47,8.16,0,0.47,0.04,1.29,0.04,5.18,4.83,0.22,2.24,1.98,0.09,2.55,0.11
M. Ayomide,23,Nigeria,"RAMF, RW, RWF",Portugal 2,2305,0.08,7.42,1.29,0.08,0.55,1.64,4.8,5,26.04,9.18,9,0.35,2.15,0.35,1.76,30,32.06,3.44,3.08,5.27,2.11,2.11,22.14,0.16,1.05,0.04,1.87,0.12,4.72,5.08,1.44,2.46,3.01,0.12,5.2,0.2
M. Edjouma,26,"France, Morocco","RCMF, DMF",Romania 1,1918,0.09,5.72,0.8,0.09,0.23,1.08,7.27,4.55,25.9,12.86,9,0.42,5.49,0.52,3.61,29,39.09,5.91,2.06,4.83,1.5,1.17,25.9,0,1.03,0.33,2.06,0.56,3.8,10.75,1.03,2.91,2.92,0.14,7.4,0.35
M. Camara,23,Mali,"LCMF, LDMF",France 1,1855,0.1,5.24,0.24,0,0.1,0.49,9.22,2.47,20.13,14.36,0,0,3.93,0.34,5,22,47.79,7.23,0.97,7.13,1.21,0.44,35.9,0.05,0.58,0.15,0.97,0.34,2.18,9.56,1.02,0.24,1.54,0.07,1.06,0.05
R. Nicolaisen,26,Denmark,"LCB, CB",France 1,2747,0.07,2.06,0.03,0,0,0.13,4.65,0.39,13.79,19.04,0,0,6.09,0.03,6.42,29,44.56,4.39,0.2,7.34,0.56,0.29,29.95,0.03,0.03,1.05,0.33,0.52,0.46,9.63,0.33,0.72,0.23,0.01,0.86,0.03
J. Ferri,31,France,"RDMF, RCMF, LDMF",France 1,2252,0.08,8.19,1.24,0.12,0.4,0.72,7.35,1.44,18.22,19.9,0,0,3.12,0.48,7.39,26,59.15,8.79,2.48,8.27,1.16,0.56,41.36,0.04,0.68,0.16,0.4,0.24,1.52,7.43,1.56,0.36,2.02,0.08,0.27,0.01
M. Bastian,21,France,"LB, LWB",France 2,1853,0.1,5.15,2.09,0.68,0.58,0.1,10.25,3.4,24.14,19.53,0,0,5.97,0.24,4.37,23,40.6,6.12,2.28,9.23,1.46,0.92,26.96,0,0.39,0.24,0.15,0.19,2.43,12.58,0.53,0.49,2.2,0.11,0.31,0.02
J. Díaz,33,"Uruguay, Spain","LCMF, RCMF",Greece 1,2224,0.08,5.99,0.85,0.12,0.45,0.53,6.68,1.9,19.34,7.85,0,0,3.08,0.24,3.4,28,29.14,4.09,1.29,4.65,0.97,0.89,18.53,0,0.57,0.28,0.36,0.36,1.5,6.72,0.69,0.81,1.74,0.07,0.9,0.04
N. Eile,20,Sweden,RCB,Sweden1,1891,0.1,4.43,0.48,0.05,0.1,1,4.28,1.05,11.71,20.04,0,0,5.43,0.14,7.62,22,44.45,8.42,1.81,10.66,1.38,1.09,33.08,0.05,0.1,0.67,0.43,0.19,1,7.95,1.33,0.62,0.37,0.02,0.72,0.03
R. Rodríguez,20,Costa Rica,"LB, RB",Costa Rica 1,1266,0.14,4.19,1.71,0.14,0.71,0.21,11.09,1,19.05,13.44,1,0.07,4.83,0.36,5.47,20,32.56,5.55,1.92,8.6,0.92,1.64,20.83,0.07,0.78,0.28,0.36,0.36,1.56,11.52,0.64,0.14,1.55,0.11,0.4,0.03
K. Diks,26,Netherlands,"RB, LB, LCB",Denmark1,1488,0.12,6.17,1.51,0.18,0.48,0.85,5.99,1.27,16.27,16.69,1,0.06,5.5,0.36,3.27,24,52.14,6.71,1.94,8.1,2.6,2.06,40.16,0,1.03,0.3,1.15,0.85,1.69,9.98,0.6,1.51,2.05,0.12,1.72,0.1
M. Abu Fani,22,Israel,"RCMF, RW, LCMF",Liga Leumit,1137,0.17,2.59,1.09,0,0.42,0.84,8.7,1.67,22.33,7.86,1,0.08,3.09,0.33,2.01,28,21.08,3.85,2.01,3.93,0.84,0.5,11.29,0.08,0.67,0.08,0.67,1.51,1.76,9.7,0.59,0.67,1.16,0.1,0.68,0.06
Lucas Soares,25,Brazil,"RB, RWB",Portugal 1,2369,0.08,6.08,2.58,0.38,0.91,0.65,6.08,2.47,15.5,10.3,1,0.04,3.69,0.46,2.93,27,31.34,2.39,2.51,5.39,1.79,1.44,21.31,0,0.57,0,1.03,0.38,2.81,8.05,0.34,1.48,2.01,0.08,2.48,0.09
